Fecha,Empresa,Tipo,Número Desde,Neto Gravado,Neto No Gravado,Op. Exentas,IVA,Neto,Mes,Razon Social
02/01/2025,Jupam Sa,Facturas A,215,345794,0,0,72617,345794,2025-01,BA Comex
02/01/2025,Jupam Sa,Facturas A,216,429800,0,0,90258,429800,2025-01,BA Comex
03/01/2025,Jupam Sa,Facturas A,218,731499,0,0,153615,731499,2025-01,BA Comex
03/01/2025,Craft Argentina Sociedad Anonima,Facturas A,217,125000,0,0,26250,125000,2025-01,BA Comex
07/01/2025,Jupam Sa,Facturas A,219,485885,0,0,102036,485885,2025-01,BA Comex
08/01/2025,Jupam Sa,Facturas A,220,445134,0,0,93478,445134,2025-01,BA Comex
08/01/2025,Jupam Sa,Facturas A,221,907735,0,0,190624,907735,2025-01,BA Comex
13/01/2025,Jupam Sa,Notas De Credito A,4,-560303,0,0,-117664,-560303,2025-01,BA Comex
14/01/2025,Aspee Monee Srl,Facturas A,223,4500000,0,0,945000,4500000,2025-01,BA Comex
14/01/2025,Aspee Monee Srl,Facturas A,222,4500000,0,0,945000,4500000,2025-01,BA Comex
14/01/2025,Two Sharks S.R.L.,Notas De Credito A,5,-394400,0,0,-82824,-394400,2025-01,BA Comex
14/01/2025,Two Sharks S.R.L.,Notas De Credito A,6,-405000,0,0,-85050,-405000,2025-01,BA Comex
14/01/2025,Aspee Monee Srl,Notas De Credito A,7,-4500000,0,0,-945000,-4500000,2025-01,BA Comex
15/01/2025,Luial S A,Facturas A,226,612395,0,0,128603,612395,2025-01,BA Comex
15/01/2025,Luial S A,Facturas A,227,613627,0,0,128862,613627,2025-01,BA Comex
15/01/2025,Two Sharks S.R.L.,Facturas A,224,100000,0,0,21000,100000,2025-01,BA Comex
15/01/2025,Jupam Sa,Facturas A,228,446192,0,0,93700,446192,2025-01,BA Comex
15/01/2025,Two Sharks S.R.L.,Facturas A,225,100000,0,0,21000,100000,2025-01,BA Comex
15/01/2025,Jupam Sa,Facturas A,229,1592700,0,0,334467,1592700,2025-01,BA Comex
20/01/2025,Jupam Sa,Facturas A,230,364871,0,0,76623,364871,2025-01,BA Comex
20/01/2025,Jupam Sa,Facturas A,231,471655,0,0,99048,471655,2025-01,BA Comex
20/01/2025,Jupam Sa,Facturas A,232,453173,0,0,95166,453173,2025-01,BA Comex
24/01/2025,Ing Hector J Resino Sociedad De Responsabilidad Limitada,Facturas A,233,1000582,0,0,210122,1000582,2025-01,BA Comex
04/02/2025,Jupam Sa,Facturas A,237,389615,0,0,81819,389615,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,241,789249,0,0,165742,789249,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,234,503370,0,0,105708,503370,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,238,451141,0,0,94740,451141,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,246,440881,0,0,92585,440881,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,242,536214,0,0,112605,536214,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,235,450698,0,0,94647,450698,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,239,456429,0,0,95850,456429,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,243,548501,0,0,115185,548501,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,236,396717,0,0,83311,396717,2025-02,BA Comex
04/02/2025,Alsina Motos Srl,Facturas A,247,1309942,0,0,275088,1309942,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,244,460583,0,0,96722,460583,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,240,765866,0,0,160832,765866,2025-02,BA Comex
04/02/2025,Jupam Sa,Facturas A,245,667035,0,0,140077,667035,2025-02,BA Comex
10/02/2025,Jupam Sa,Facturas A,248,338575,0,0,71101,338575,2025-02,BA Comex
10/02/2025,Jupam Sa,Facturas A,249,338929,0,0,71175,338929,2025-02,BA Comex
12/02/2025,Jupam Sa,Facturas A,250,451994,0,0,94919,451994,2025-02,BA Comex
13/02/2025,Jupam Sa,Facturas A,252,444288,0,0,93300,444288,2025-02,BA Comex
13/02/2025,Jupam Sa,Facturas A,251,390064,0,0,81913,390064,2025-02,BA Comex
14/02/2025,Jupam Sa,Facturas A,253,381404,0,0,80095,381404,2025-02,BA Comex
14/02/2025,Jupam Sa,Facturas A,254,453388,0,0,95211,453388,2025-02,BA Comex
14/02/2025,Jupam Sa,Facturas A,255,522510,0,0,109727,522510,2025-02,BA Comex
17/02/2025,Jupam Sa,Facturas A,257,523682,0,0,109973,523682,2025-02,BA Comex
17/02/2025,Alsina Motos Srl,Facturas A,259,422600,0,0,88746,422600,2025-02,BA Comex
17/02/2025,Alsina Motos Srl,Facturas A,260,778905,0,0,163570,778905,2025-02,BA Comex
17/02/2025,Luial S A,Facturas A,258,649719,0,0,136441,649719,2025-02,BA Comex
17/02/2025,Jupam Sa,Facturas A,256,453388,0,0,95211,453388,2025-02,BA Comex
20/02/2025,Jupam Sa,Facturas A,262,524830,0,0,110214,524830,2025-02,BA Comex
20/02/2025,Jupam Sa,Facturas A,261,340234,0,0,71449,340234,2025-02,BA Comex
26/02/2025,Jupam Sa,Facturas A,263,521495,0,0,109514,521495,2025-02,BA Comex
26/02/2025,Jupam Sa,Facturas A,264,305977,0,0,64255,305977,2025-02,BA Comex
28/02/2025,Jupam Sa,Facturas A,265,691930,0,0,145305,691930,2025-02,BA Comex
06/03/2025,Jupam Sa,Facturas A,266,1002711,0,0,210569,1002711,2025-03,BA Comex
06/03/2025,Jupam Sa,Facturas A,267,401365,0,0,84287,401365,2025-03,BA Comex
06/03/2025,Jupam Sa,Facturas A,268,411796,0,0,86477,411796,2025-03,BA Comex
06/03/2025,Jupam Sa,Facturas A,269,417455,0,0,87665,417455,2025-03,BA Comex
06/03/2025,Aspee Monee Srl,Facturas A,271,100000,0,0,21000,100000,2025-03,BA Comex
06/03/2025,Jupam Sa,Facturas A,270,486909,0,0,102251,486909,2025-03,BA Comex
12/03/2025,Aspee Monee Srl,Facturas A,272,200000,0,0,42000,200000,2025-03,BA Comex
12/03/2025,Jupam Sa,Facturas A,273,540925,0,0,113594,540925,2025-03,BA Comex
14/03/2025,Aspee Monee Srl,Facturas A,274,100000,0,0,21000,100000,2025-03,BA Comex
14/03/2025,Jupam Sa,Facturas A,275,373379,0,0,78410,373379,2025-03,BA Comex
14/03/2025,Aspee Monee Srl,Facturas A,276,300000,0,0,63000,300000,2025-03,BA Comex
17/03/2025,Aspee Monee Srl,Facturas A,277,100000,0,0,21000,100000,2025-03,BA Comex
18/03/2025,Jupam Sa,Facturas A,278,495427,0,0,104040,495427,2025-03,BA Comex
18/03/2025,Mercovan Argentina S.A.,Facturas A,280,898944,0,0,188778,898944,2025-03,BA Comex
18/03/2025,Jupam Sa,Facturas A,279,284255,0,0,59694,284255,2025-03,BA Comex
18/03/2025,Edelweiss Spedition Srl,Facturas A,281,235601,0,0,49476,235601,2025-03,BA Comex
19/03/2025,Aspee Monee Srl,Facturas A,283,200000,0,0,42000,200000,2025-03,BA Comex
19/03/2025,Liftvan International Company S A C,Facturas A,282,511214,0,0,107355,511214,2025-03,BA Comex
27/03/2025,Aspee Monee Srl,Facturas A,284,400000,0,0,84000,400000,2025-03,BA Comex
27/03/2025,Jupam Sa,Facturas A,285,374588,0,0,78663,374588,2025-03,BA Comex
27/03/2025,Jupam Sa,Facturas A,286,385424,0,0,80939,385424,2025-03,BA Comex
27/03/2025,Jupam Sa,Facturas A,287,466847,0,0,98038,466847,2025-03,BA Comex
27/03/2025,Jupam Sa,Facturas A,288,447730,0,0,94023,447730,2025-03,BA Comex
27/03/2025,Jupam Sa,Facturas A,289,531358,0,0,111585,531358,2025-03,BA Comex
04/04/2025,Aspee Monee Srl,Facturas A,290,300000,0,0,63000,300000,2025-04,BA Comex
11/04/2025,Aspee Monee Srl,Facturas A,291,500000,0,0,105000,500000,2025-04,BA Comex
15/04/2025,Fedtex,Facturas A,293,420000,0,0,88200,420000,2025-04,BA Comex
15/04/2025,Aspee Monee Srl,Facturas A,292,700000,0,0,147000,700000,2025-04,BA Comex
22/04/2025,Aspee Monee Srl,Facturas A,294,100000,0,0,21000,100000,2025-04,BA Comex
23/04/2025,Aerofit Srl,Facturas A,295,2200000,0,0,462000,2200000,2025-04,BA Comex
29/04/2025,Aspee Monee Srl,Facturas A,296,500000,0,0,105000,500000,2025-04,BA Comex
30/04/2025,Gulmez Hermanos Sociedad Anonima,Facturas A,300,218800,0,0,45948,218800,2025-04,BA Comex
30/04/2025,Novelty Trend S.R.L.,Facturas A,298,1000000,0,0,210000,1000000,2025-04,BA Comex
